title,company,location,category,job_type,deadline,salary,url
Female Security Officer,JOBS.KRD Client 5,Erbil,Security Services/Facility Security,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Female-Security-Officer-3126
Payroll & Time Management Assistant,Bahar Holding,Sulaymaniyah,Administration/Operations,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Payroll-&-Time-Management-Assistant-3125
Marketing Supervisor - Electronics,Bahar Holding,Sulaymaniyah,Marketing,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Supervisor---Electronics-3124
Executive Assistant,Bahar Holding,Sulaymaniyah,Administration/Operations,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Executive-Assistant-3123
Instrumentation & Control Engineer,Bahar Holding,Sulaymaniyah,Engineering,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Instrumentation-&-Control-Engineer-3122
Bellboy,Shahan Company,Duhok,Front Office / Guest Services,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Bellboy-3121
Waiter,Shahan Company,Duhok,Food and Beverage Service (F&B),Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Waiter-3120
Housekeeping Attendant,Shahan Company,Duhok,Facilities Management,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Housekeeping-Attendant-3119
Promoter,Deyari Group,Kirkuk,Marketing,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Promoter-3118
Technical Support Specialist,Getty Tech,Erbil,Information Technology (IT),Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Technical-Support-Specialist-3116
Marketing Coordinator,JOBS.KRD Careers,Erbil,Marketing,Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Coordinator-3115
Quality Assurance Technician,JOBS.KRD Careers,Erbil,Quality Assurance/Quality Control (QA/QC),Full time,2026-05-21,"{'id': 1, 'name': 'IQD'} 600000.00–900000.00 / Monthly",https://jobs.krd/explore-jobs/Quality-Assurance-Technician-3114
Marketplace Category Manager,Galina Express,Erbil,Marketing,Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Marketplace-Category-Manager-3113
Administrative Assistant,JOBS.KRD Client 5,Erbil,Administration/Operations,Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Admin-Assistant-3112
Sales -Skylla,Arizanti Company,Erbil,Sales,Full time,2026-05-21,"{'id': 1, 'name': 'IQD'} 950000.00–1000000.00 / Monthly",https://jobs.krd/explore-jobs/Sales--Skylla-3111
Social Media Manager,Sterling Lex,Erbil,Marketing,Full time,2026-05-20,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Manager-3110
ICT Teacher,JOBS.KRD Client 13,Erbil,Education,Full time,2026-05-20,Not disclosed,https://jobs.krd/explore-jobs/ICT-Teacher-3109
Visa Consultant,Life Travel Agency,Erbil,Customer Service/Support,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Visa-Consultant-3107
Agricultural Engineer,NRCO General Trading,Zakho,Engineering,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Agricultural-Engineer-3108
Hostess at Buffalo Wings & Rings,ALSALT Hospitality,Erbil,Customer Service/Support,Full time,2026-05-20,Not disclosed,https://jobs.krd/explore-jobs/Hostess-at-Buffalo-Wings-&-Rings-3106
CV Collection For Sales Sector,JOBS.KRD Careers,Duhok,Sales,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/CV-Collection-For-Sales-Sector-3104
CV Collection For Sales Sector,JOBS.KRD Careers,Sulaymaniyah,Sales,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/CV-Collection-For-Sales-Sector-3105
Sales Executive,Erbil International Hotel,Erbil,Sales,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Sales-Executive-3102
CV Collection for Sales Sector,JOBS.KRD Careers,Erbil,Sales,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/CV-Collection-for-Sales-Department-3103
Sales Consultant (Female),Selma furniture,Erbil,Sales,Part time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/sales-consultant-3100
Outlet Decoration & Visual Merchandising Specialist,Shahan Company,Duhok,Operations/Production,Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Outlet-Decoration-&-Visual-Merchandising-Specialist-3098
Flexo & Label Designer,FABYAB CO.,Erbil,Marketing,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Flexo-&-Label-Designer-3101
Warehouse Coordinator,ALSALT Hospitality,Erbil,Facilities Management,Full time,2026-05-18,Not disclosed,https://jobs.krd/explore-jobs/Warehouse-Coordinator-3097
Quality Control Inspector,ALSALT Hospitality,Erbil,Quality Assurance/Quality Control (QA/QC),Full time,2026-05-18,Not disclosed,https://jobs.krd/explore-jobs/Quality-Control-Inspector-3096
