title,company,location,category,job_type,deadline,salary,url,salary_disclosed,days_until_deadline,job_type_encoded,location_encoded,category_encoded,deadline_status
Female Security Officer,JOBS.KRD Client 5,Erbil,Security Services/Facility Security,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Female-Security-Officer-3126,0,7,1,1,22,1
Payroll & Time Management Assistant,Bahar Holding,Sulaymaniyah,Administration/Operations,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Payroll-&-Time-Management-Assistant-3125,0,7,1,5,0,1
Marketing Supervisor - Electronics,Bahar Holding,Sulaymaniyah,Marketing,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Supervisor---Electronics-3124,0,7,1,5,15,1
Executive Assistant,Bahar Holding,Sulaymaniyah,Administration/Operations,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Executive-Assistant-3123,0,7,1,5,0,1
Instrumentation & Control Engineer,Bahar Holding,Sulaymaniyah,Engineering,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Instrumentation-&-Control-Engineer-3122,0,7,1,5,6,1
Bellboy,Shahan Company,Duhok,Front Office / Guest Services,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Bellboy-3121,0,7,1,0,11,1
Waiter,Shahan Company,Duhok,Food and Beverage Service (F&B),Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Waiter-3120,0,7,1,0,10,1
Housekeeping Attendant,Shahan Company,Duhok,Facilities Management,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Housekeeping-Attendant-3119,0,7,1,0,8,1
Promoter,Deyari Group,Kirkuk,Marketing,Full time,2026-05-24,Not disclosed,https://jobs.krd/explore-jobs/Promoter-3118,0,7,1,2,15,1
Technical Support Specialist,Getty Tech,Erbil,Information Technology (IT),Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Technical-Support-Specialist-3116,0,4,1,1,13,1
Marketing Coordinator,JOBS.KRD Careers,Erbil,Marketing,Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Coordinator-3115,0,4,1,1,15,1
Quality Assurance Technician,JOBS.KRD Careers,Erbil,Quality Assurance/Quality Control (QA/QC),Full time,2026-05-21,"{'id': 1, 'name': 'IQD'} 600000.00–900000.00 / Monthly",https://jobs.krd/explore-jobs/Quality-Assurance-Technician-3114,1,4,1,1,20,1
Marketplace Category Manager,Galina Express,Erbil,Marketing,Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Marketplace-Category-Manager-3113,0,4,1,1,15,1
Administrative Assistant,JOBS.KRD Client 5,Erbil,Administration/Operations,Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Admin-Assistant-3112,0,4,1,1,0,1
Sales -Skylla,Arizanti Company,Erbil,Sales,Full time,2026-05-21,"{'id': 1, 'name': 'IQD'} 950000.00–1000000.00 / Monthly",https://jobs.krd/explore-jobs/Sales--Skylla-3111,1,4,1,1,21,1
Social Media Manager,Sterling Lex,Erbil,Marketing,Full time,2026-05-20,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Manager-3110,0,3,1,1,15,1
ICT Teacher,JOBS.KRD Client 13,Erbil,Education,Full time,2026-05-20,Not disclosed,https://jobs.krd/explore-jobs/ICT-Teacher-3109,0,3,1,1,5,1
Visa Consultant,Life Travel Agency,Erbil,Customer Service/Support,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Visa-Consultant-3107,0,2,1,1,3,1
Agricultural Engineer,NRCO General Trading,Zakho,Engineering,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Agricultural-Engineer-3108,0,2,1,6,6,1
Hostess at Buffalo Wings & Rings,ALSALT Hospitality,Erbil,Customer Service/Support,Full time,2026-05-20,Not disclosed,https://jobs.krd/explore-jobs/Hostess-at-Buffalo-Wings-&-Rings-3106,0,3,1,1,3,1
CV Collection For Sales Sector,JOBS.KRD Careers,Duhok,Sales,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/CV-Collection-For-Sales-Sector-3104,0,2,1,0,21,1
CV Collection For Sales Sector,JOBS.KRD Careers,Sulaymaniyah,Sales,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/CV-Collection-For-Sales-Sector-3105,0,2,1,5,21,1
Sales Executive,Erbil International Hotel,Erbil,Sales,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Sales-Executive-3102,0,2,1,1,21,1
CV Collection for Sales Sector,JOBS.KRD Careers,Erbil,Sales,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/CV-Collection-for-Sales-Department-3103,0,2,1,1,21,1
Sales Consultant (Female),Selma furniture,Erbil,Sales,Part time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/sales-consultant-3100,0,4,2,1,21,1
Outlet Decoration & Visual Merchandising Specialist,Shahan Company,Duhok,Operations/Production,Full time,2026-05-21,Not disclosed,https://jobs.krd/explore-jobs/Outlet-Decoration-&-Visual-Merchandising-Specialist-3098,0,4,1,0,17,1
Flexo & Label Designer,FABYAB CO.,Erbil,Marketing,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Flexo-&-Label-Designer-3101,0,2,1,1,15,1
Warehouse Coordinator,ALSALT Hospitality,Erbil,Facilities Management,Full time,2026-05-18,Not disclosed,https://jobs.krd/explore-jobs/Warehouse-Coordinator-3097,0,1,1,1,8,1
Quality Control Inspector,ALSALT Hospitality,Erbil,Quality Assurance/Quality Control (QA/QC),Full time,2026-05-18,Not disclosed,https://jobs.krd/explore-jobs/Quality-Control-Inspector-3096,0,1,1,1,20,1
Real Estate Agent,Haji Saffin Real Estate,Erbil,Sales,Full time,2026-05-18,Not disclosed,https://jobs.krd/explore-jobs/Real-Estate-Agent-3095,0,1,1,1,21,1
Business Development Specialist,USOFTS,Erbil,Business Development,Full time,2026-05-25,Not disclosed,https://jobs.krd/explore-jobs/Business-Development-Specialist-3094,0,8,1,1,1,1
Sales Development Assistant Specialist/Specialist – Paint and Thermal Insulation,Kalekim,Erbil,Sales,Full time,2026-05-18,Not disclosed,https://jobs.krd/explore-jobs/Sales-Development-Assistant-Specialist/Specialist-–-Paint-and-Thermal-Insulation-3092,0,1,1,1,21,1
Sales Person (Female),Marjan Xoman,Duhok,Sales,Full time,2026-05-17,"{'id': 1, 'name': 'IQD'} 750000.00–800000.00 / Monthly",https://jobs.krd/explore-jobs/Sales-Person-3089,1,0,1,0,21,1
Sales Person,JOBS.KRD Careers,Erbil,Sales,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Sales-Person-3090,0,0,1,1,21,1
Quality Control Officer,JOBS.KRD Careers,Erbil,Quality Assurance/Quality Control (QA/QC),Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Quality-Control-Officer-3091,0,0,1,1,20,1
Female Gym Coach,JOBS.KRD Client 5,Erbil,Sport and Fittness,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Female-Gym-Coach-3087,0,0,1,1,23,1
Personal Assistant,Al Fuladh,Erbil,Administration/Operations,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Personal-Assistant-3088,0,0,1,1,0,1
Mechanical Engineer,Al Fuladh,Erbil,Engineering,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Mechanical-Engineer-3086,0,0,1,1,6,1
Assistant Chef,Coccolina Bakehaus & Tea,Erbil,Operations/Production,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Assistant-Chef-3085,0,0,1,1,17,1
Video Editor,Havi Printing,Duhok,Marketing,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Video-Editor-3079,0,0,1,0,15,1
Salesperson,Arizanti Company,Erbil,Sales,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Salesperson-3084,0,0,1,1,21,1
Operation Assistant,Arizanti Company,Erbil,Operations/Production,Full time,2026-05-17,Not disclosed,https://jobs.krd/explore-jobs/Operation-Assistant-3083,0,0,1,1,17,1
Program Manager,JOBS.KRD,Erbil,Project Management,Full time,2026-05-18,Not disclosed,https://jobs.krd/explore-jobs/Program-Manager-3082,0,1,1,1,18,1
Laboratory Staff,Packink,Erbil,Facilities Management,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Laboratory-Staff-3081,0,2,1,1,8,1
Purchasing Officer,Packink,Erbil,Operations/Production,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Purchasing-Officer-3080,0,2,1,1,17,1
Frontend Developer,Weshadow LLC,Erbil,Information Technology (IT),Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Frontend-Developer-3077,0,2,1,1,13,1
Senior Graphic Designer,Weshadow LLC,Erbil,Marketing,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Senior-Graphic-Designer-3076,0,2,1,1,15,1
HR Officer,Weshadow LLC,Erbil,Human Resources,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/HR-Officer-3075,0,2,1,1,12,1
Marketing Specialist,Weshadow LLC,Erbil,Marketing,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Specialist-3074,0,2,1,1,15,1
Senior Video Editor,Weshadow LLC,Erbil,Marketing,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Senior-Video-Editor-3073,0,2,1,1,15,1
Teachers for Upcoming Academic Year,Fam Group,Ranya (Sulaymaniyah Province),Education,Full time,2026-05-25,Not disclosed,https://jobs.krd/explore-jobs/Teachers-for-Upcoming-Academic-Year-3070,0,8,1,4,5,1
Volunteer Services Coordinator,VolunteerKRD,Erbil,Operations/Production,Full time,2026-05-19,Not disclosed,https://jobs.krd/explore-jobs/Volunteer-Services-Coordinator-3068,0,2,1,1,17,1
Teacher,Classical School of the Medes,Duhok,Education,Full time,2026-08-15,Not disclosed,https://jobs.krd/explore-jobs/Teacher-3058,0,90,1,0,5,1
Teacher,Classical School of the Medes,Sulaymaniyah,Education,Full time,2026-08-15,Not disclosed,https://jobs.krd/explore-jobs/Teacher-3057,0,90,1,5,5,1
Teacher,Classical School of the Medes,Erbil,Education,Full time,2026-08-15,Not disclosed,https://jobs.krd/explore-jobs/Teacher-3056,0,90,1,1,5,1
Kitchen Team Leader,ALSALT Hospitality,Erbil,Operations/Production,Full time,2026-05-22,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/Kitchen-Team-Leader-3011,1,5,1,1,17,1
Marketing Specialist,Weshadow LLC,Erbil,Unknown,Full time,2026-06-23,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Specialist-2889,0,37,1,1,28,1
Marketing Manager,Galina Express,Erbil,Marketing,Full time,2026-05-29,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Manager-2831,0,12,1,1,15,1
Tech Lead,Galina Express,Erbil,Information Technology (IT),Full time,2026-06-13,Not disclosed,https://jobs.krd/explore-jobs/Tech-Lead-2709,0,27,1,1,13,1
Web Developer,Shahan Company,Duhok,Information Technology (IT),Full time,2026-05-30,Not disclosed,https://jobs.krd/explore-jobs/Web-Development-3099,0,13,1,0,13,1
Cashier (Female),DDK Collection Hotel,Duhok,Finance,Full time,2026-05-15,Not disclosed,https://jobs.krd/explore-jobs/Cashier-(Female)-3071,0,-2,1,0,9,0
